gid;nom;arrete_pref_numero;xy_precis;id_adr;adr_num;adr_voie;com_cp;com_insee;com_nom;lat_coor1;long_coor1;structure_siren;structure_type;structure_rais;structure_num;structure_voie;structure_cp;structure_insee;structure_com;_userid_creation;_userid_modification;_edit_datemaj;lieu_accessibilite;rdv_lundi;rdv_mardi;rdv_mercredi;rdv_jeudi;rdv_vendredi;rdv_samedi;rdv_dimanche;rdv;date_fermeture;date_ouverture;rdv_site_web;rdv_tel;rdv_tel2;rdv_modalites;rdv_consultation_prevaccination;centre_svi_repondeur;centre_fermeture;reserve_professionels_sante
2209;LA ROCHE SUR FORON - ROCHEXPO;;0.9999984630232;74224_0199_00230;59;Rue des Centaures;74800;74224;La Roche-sur-Foron;46.0734;6.30773;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;8140;8097;2021-03-29 18:02:40.51994;Oui;09:00-13:00/14:00-19:00;09:00-13:00/14:00-19:00;09:00-13:00/14:00-19:00;09:00-13:00/14:00-19:00;09:00-13:00/14:00-19:00;09:00-13:00/14:00-19:00;fermé;t;;2021-04-07;;;;Grand centre;t;;f;f
1425;Foyer des jeunes AUPS;;0.99999951368662;83007_0399;;Place Frédéric MISTRAL;83630;83007;Aups;43.6271;6.2244;130007982;8412Z;AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR;132;DE PARIS BD;13003;13203;MARSEILLE 3;10366;10366;2021-03-30 16:59:03.691668;;fermé;11h00 - 16h00;11h00 - 16h00;11h00 - 16h00;fermé;fermé;fermé;t;;2021-02-08;https://partners.doctolib.fr/centre-de-vaccinations-internationales/toulon/centre-de-vaccination-covid-19-du-var?pid=practice-170083&enable_cookies_consent=1;04.94.70.96.53;;;;;;f
1430;Clinisud;;0.99999990287382;2a004_g1g6j3_00023;12;Avenue Napoleon III;20090;2A004;Ajaccio;41.9232;8.73563;130007990;8412Z;AGENCE REGIONALE DE SANTE DE CORSE;;SAINT JOSEPH QUA;20090;2A004;AJACCIO;12661;12661;2021-02-11 16:46:42.896344;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;t;;;;+33609982363;;;t;;;t
741;CH BOURGANEUF;;0.9999999978091;23030_0890;;Place Tournois;23400;23030;Bourganeuf;45.9534;1.75069;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;13086;18103;2021-03-31 20:02:30.037785;;13:30-16:00;13:30-16:00;13:30-16:00;13:30-16:00;13:30-16:00;fermé;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-vaccinations-internationales/limousin/vaccination-covid-19-professionnels-de-sante?speciality_id=5494&pid=practice-163731&enable_cookies_consent=1;+33555515571;;;t;;;
416;POLYCLINIQUE INKERMANN;;0.99999991867105;79191_0070_00084;84;Route d'Aiffres;79000;79191;Niort;46.3155;-0.452071;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;51;18113;2021-03-22 11:15:16.73812;;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;09:30-12:30/13:30-17:30;fermé;fermé;t;;2021-01-14;https://partners.doctolib.fr/centre-de-sante/niort/vaccination-covid-19-inkermann?speciality_id=5494&enable_cookies_consent=1;+33627620475;;;t;f;f;f
2181;Centre de vaccination - Commune de  Villers-Outréaux, Salle des fêtes;;1;59624_0300_00016;;Place du Général de Gaulle;59142;59624;Villers-Outréaux;50.0328;3.29931;130007974;8412Z;AGENCE REGIONALE DE SANTE HAUTS-DE-FRANCE;556;AV WILLY BRANDT;59777;59350;LILLE;101;101;2021-03-29 12:20:03.606445;;fermé;fermé;fermé;fermé;fermé;;;;;2021-03-27;https://partners.doctolib.fr/centre-de-sante/gouzeaucourt/centre-de-vaccination-covid-19-cpts-du-haut-escault?pid=practice-177052&enable_cookies_consent=1;;;;;;;
541;CV LE FOSSAT (Moderna Pfizer);;0.99999994665402;09124_v0asq5_00423;;centre multimédia avenue de Versailles;09130;09124;Le Fossat;43.1751;1.40577;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18081;18081;2021-03-26 11:43:35.394199;;09:00-15:10;09:00-15:10;09:00-15:10;09:00-15:10;09:00-15:10;09:00-15:10;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/fossat/centre-de-vaccination-covid-du-fossat?speciality_id=5494&enable_cookies_consent=1;+33800541919;;;;;;
1440;MONTFORT SUR MEU-COSEC;;0.99999951550885;35188_0610_00001;1;Route d’Iffendic;35160;35188;Montfort-sur-Meu;48.138;-1.96361;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;DES COLOMBES PL;35000;35238;RENNES;18078;18;2021-02-17 19:00:02.008492;;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;9h-13h / 14h-18h;fermé;fermé;;;2021-02-22;https://partners.doctolib.fr/centre-de-sante/montfort-sur-meu/centre-de-vaccination-covid-19-de-broceliande?pid=practice-166461&enable_cookies_consent=1;+33805690821;;;;;;
1439;BAIN DE BGNE-La Croix Rouge;;0.99999821347224;35012_b127_00013;75;La Croix Rouge;35470;35012;Bain-de-Bretagne;47.831;-1.68564;130007966;8412Z;AGENCE REGIONALE DE SANTE DE BRETAGNE;6;DES COLOMBES PL;35000;35238;RENNES;18078;18078;2021-02-22 11:00:01.715655;;fermé;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;9h-12h / 14h-17h;fermé;fermé;;;2021-02-22;https://vaccination-covid.keldoc.com/cabinet-medical/bain-de-bretagne-35470/salle-des-fetes-de-bain-de-bretagne/centre-de-vaccination-de-la-salle-des-fetes-de-bain-de-bretagne;+33805690821;;;;;;
209;Centre de vaccination Sélestat -Les Tanzmatten ;;0.99999977083676;67462_2280_00010;10;Quai des Tanneurs;67600;67462;Sélestat;48.2566;7.45774;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13532;11476;2021-03-19 00:29:58.146627;;;;9h-13h/14h-18h;;;9h-13h/14h-18h;fermé;t;;2021-03-01;https://partners.doctolib.fr/centre-de-vaccinations-internationales/selestat/centre-de-vaccination-covid-19-ville-de-selestat?speciality_id=5494&enable_cookies_consent=1;09 70 81 81 61;;;;;f;
1583;Centre de vaccination éphémère du Moule;2021-052;0.99999898353859;97117_0416_00032;;Rue Jacques  Ponrémy - Sergent;97160;97117;Le Moule;16.3204;-61.3419;130008030;8412Z;AGENCE REGIONALE DE SANTE DE GUADELOUPE, SAINT-MARTIN ET SAINT-BARTHELEMY;;RUE DES ARCHIVES BISDARY;97113;97109;GOURBEYRE;13179;13179;2021-03-03 00:32:41.784293;Oui;09:00-13:00;09:00-13:00;09:00-13:00;09:00-13:00;09:00-13:00;fermé;fermé;t;;2021-02-25;;05 90 99 14 74;;;t;f;f;f
33;SAINT APOLINAIRE Maison des associations Esplanade François Manière;;0.99999934432714;21540_0860_00129;129;Rue Saint Jean;21850;21540;Saint-Apollinaire;47.3325;5.08103;130007933;8412Z;AGENCE REGIONALE DE SANTE BOURGOGNE-FRANCHE-COMTE;2;PL DES SAVOIRS;21000;21231;DIJON;82;18184;2021-02-18 15:44:55.397233;;10:00-13:00/14:00-18:00;10:00-13:00/14:00-18:00;10:00-13:00/14:00-18:00;10:00-13:00/14:00-18:00;10:00-13:00/14:00-18:00;09:00-13:00;fermé;t;;2021-01-06;https://partners.doctolib.fr/maison-de-sante/dijon/cpts-de-dijon-vaccination-covid-19?pid=practice-164123&enable_cookies_consent=1;+33345810421;;;f;;;f
2215;Grand centre LE MANS (en cours de déclaration) ;;0.99999993126776;72181_4223_00014;14;Avenue Pierre Mendès France;72000;72181;Le Mans;48.0061;0.199565;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;10695;2021-03-26 11:32:46.446805;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;;;;;Grand centre;;;t;
936;Centre de vaccination Clinique Toulouse Lautrec;;0.99999965877737;81004_1846_00002;2;Rue Jacques Monod;81000;81004;Albi;43.9284;2.1801;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18204;20101;2021-02-24 12:05:08.576096;oui;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;09:00-17:00;fermé;fermé;t;;2021-01-18;https://partners.doctolib.fr/hopital-public/tarn/chic-castres-mazamet-centre-de-vaccination?speciality_id=5494&pid=practice-164870&enable_cookies_consent=1;+33800541919;;;t;;;
773;CH EVAUX LES BAINS;;0.99999942284502;23076_b394;;Ouches du Budelle;23110;23076;Évaux-les-Bains;46.1779;2.48885;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;13086;18103;2021-03-31 20:08:15.992329;;14:00-17:00;14:00-17:00;14:00-17:00;14:00-17:00;14:00-17:00;fermé;fermé;t;;2021-01-25;https://partners.doctolib.fr/centre-de-vaccinations-internationales/limousin/vaccination-covid-19-professionnels-de-sante?pid=practice-165266&enable_cookies_consent=1;+33555656000;;;t;;;
1242;Centre de Vaccination - MESLAY DU MAINE - Salle Socioculturelle;2021-20-04-DSC;0.99999998149566;53152_0620_00011;16;Place de la Poste;53170;53152;Meslay-du-Maine;47.9513;-0.55258;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;10695;2021-03-08 12:00:01.717936;;14h-18h;14h-18h;14h-18h;14h-18h;14h-18h;fermé;fermé;t;;2021-01-25;https://partners.doctolib.fr/etablissement-de-prevention/mayenne/centres-de-vaccination-de-la-mayenne-mayenne?pid=practice-164911&enable_cookies_consent=1;+33243535300;;;t;;f;
65;CH JONZAC (réservé aux professionnels de santé);;0.99999979726459;17197_y4e55t_00004;4;Avenue Winston Churchill;17500;17197;Jonzac;45.4391;-0.433836;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;51;112;2021-02-12 09:17:37.484284;OUI;9:00-12:30/14:00-17:00;9:00-12:30/14:00-17:00;9:00-12:30/14:00-17:00;9:00-12:30/14:00-17:00;9:00-12:30/14:00-17:00;fermé;fermé;t;;2021-01-12;https://partners.doctolib.fr/hopital-public/haute-saintonge/centre-de-vaccination-covid-19-haute-saintonge?pid=practice-164575&enable_cookies_consent=1;+33546701035;;réservé aux professionnels de santé libéraux;t;;;
1300;Centre de vaccination du Pays de Gex - Centre hospitalier du Pays de Gex;;0.99999999287234;01173_0561_00160;160;Rue Marc Panissod;01170;01173;Gex;46.3224;6.05794;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;18310;41;2021-02-19 17:30:10.621806;;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;08:00-12:00/14:00-18:00;fermé;fermé;t;;2021-01-28;https://partners.doctolib.fr/centre-de-sante/gex/centre-de-vaccination-pays-de-gex-agglo?pid=practice-168273&enable_cookies_consent=1;+33485292109;;;t;;;
1008;Centre de vaccination de Mulhouse;;0.99999968429252;68224_v16d08;16;boulevard Charles Stoessel;68200;68224;Mulhouse;47.7419;7.32298;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;15;18318;2021-02-15 12:09:35.669099;;non précisé;non précisé;non précisé;non précisé;non précisé;non précisé;non précisé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/mulhouse/centre-de-vaccination-de-mulhouse?pid=practice-164975?speciality_id=5494&enable_cookies_consent=1;+33970818161;;;;;;
1365;CMN ST-FEYRE;;0.99999984158075;23193_b148_00001;4; les Bains;23000;23193;Sainte-Feyre;46.1401;1.88683;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;BELLEVILLE RUE;33000;33063;BORDEAUX;13086;18103;2021-03-31 20:13:32.267641;;10:00-12:00;10:00-12:00;10:00-12:00;10:00-12:00;10:00-12:00;;fermé;t;;2021-02-15;https://partners.doctolib.fr/centre-de-sante/sainte-feyre/centre-de-vaccination-covid-19-ehpad-sainte-feyre-mgen?speciality_id=5494&enable_cookies_consent=1;0555514321;;Vaccination possible à partir du 15/02/2021 (ouverture du centre);t;f;f;f
1004;Centre de vaccination - Espace culturel du Parc;;0.99999991986447;93029_6192_00133;120;rue Sadi Carnot;93700;93029;Drancy;48.927;2.43888;130008014;8412Z;AGENCE REGIONALE SANTE ILE DE FRANCE;13;RUE DU LANDY;93200;93066;SAINT-DENIS;18279;18279;2021-03-26 14:44:52.885301;;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;9h-17h;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/drancy/centre-de-vaccination-covid-drancy-espace-culturel-du-parc?speciality_id=5494&enable_cookies_consent=1;06 32 82 33 22;;;t;;f;f
1225;Centre de vaccination UGECAM d'Illkirch-Graffenstaden ;;0.99999892955108;67218_0013_00001;10;Avenue Achille Baumann;67400;67218;Illkirch-Graffenstaden;48.5379;7.72465;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;13943;11476;2021-03-19 00:44:05.798546;;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;09:00-20:00;fermé;t;;2021-01-25;https://partners.doctolib.fr/centre-de-sante/illkirch-graffenstaden/centre-de-vaccination-covid-d-illkirch?speciality_id=5494&enable_cookies_consent=1;+33388668000;;;;;f;
2328;Vaccinobus du Vaucluse;;0.99999989013668;84007_4991_00133;135;Maison de la région du Vaucluse  - Avenue Pierre Sémard;84000;84007;Avignon;43.9348;4.8306;130007982;8412Z;AGENCE REGIONALE DE SANTE DE PROVENCE ALPES COTE D'AZUR;132;BD DE PARIS;13003;13203;MARSEILLE 3;10366;10366;2021-04-01 09:12:12.267906;;fermé;fermé;fermé;fermé;fermé;fermé;fermé;;;2021-03-30;;;;Equipe mobile;;;t;
1298;Centre de Vaccination - MAISON DE SANTE AMOU;;0.99999991069444;40002_0040_00024;24;Avenue de la Digue - Salle De l'Etoile;40330;40002;Amou;43.592;-0.745461;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;18107;18107;2021-02-05 09:06:15.124271;; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ; 08:30 - 12:30 / 13:30 - 17:30 ;fermé;fermé;t;;2021-02-02;https://www.maiia.com/centre-de-vaccination/40330-amou/centre-de-vaccination---maison-de-sante-amou;;;;t;;;
1189;Centre de vaccination de Graulhet - Salle le Foulon ;;0.999999987748;81105_1239_00001;1;Place de la Republique;81300;81105;Graulhet;43.7611;1.98803;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;18204;20101;2021-02-22 14:47:06.206368;oui;13:00-17:30;13:00-17:30;13:00-17:30;13:00-17:30;13:00-17:30;fermé;fermé;t;;2021-01-25;https://partners.doctolib.fr/centre-de-sante/graulhet/centre-de-vaccination-covid-19-graulhet?speciality_id=5494&enable_cookies_consent=1;+33800541919;;;t;;;
1249;Centre de vaccination de Contres;;0.99999998885834;41059_0070_00006;8;Rue de la Gare;41700;41059;Le Controis-en-Sologne;47.4183;1.42616;130007842;8412Z;AGENCE REGIONALE DE SANTE DU CENTRE-VAL DE LOIRE;131;RUE DU FAUBOURG BANNIER;45000;45234;ORLEANS;18350;18192;2021-02-08 18:01:58.194531;;fermé;9h-13h et 14h-18h;fermé;14h-18h;14h-18h;fermé;fermé;t;;2021-02-08;https://partners.doctolib.fr/centre-de-sante/contres/centre-de-vaccination-covid-19-de-contres?pid=practice-166196&enable_cookies_consent=1;+33633548603;;;;;;
1244;Centre de Vaccination - EVRON;;0.99999996530795;53097_1500_00013;;Avenue des Sports;53600;53097;Évron;48.1524;-0.403651;130008006;8412Z;AGENCE REGIONALE DE SANTE PAYS DE LOIRE;17;BD GASTON DOUMERGUE;44200;44109;NANTES;10695;362;2021-03-08 12:00:01.772768;;fermé;9h-13h / 14-17h30;9h-13h / 14-17h30;9h-13h / 14-17h30;fermé;fermé;fermé;t;;2021-01-26;https://partners.doctolib.fr/etablissement-de-prevention/mayenne/centres-de-vaccination-de-la-mayenne-mayenne?pid=practice-165417&enable_cookies_consent=1;+33243535300;;;t;;;
943;Laxou - CPN;;0.9999842658218;54304_0604_00002;1;Rue du Dr Archambault;54520;54304;Laxou;48.6781;6.13817;130007834;8412Z;AGENCE REGIONALE DE SANTE GRAND EST;3;BD JOFFRE;54000;54395;NANCY;15;18318;2021-02-15 12:15:18.535855;;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;9:00-12:00/13:00-17:00;fermé;t;;2021-01-07;https://partners.doctolib.fr/centre-de-vaccinations-internationales/nancy/centre-de-vaccination-covid-19-nancy?speciality_id=5494&pid=practice-162995&enable_cookies_consent=1;+33383851300;;;;;;
2329;Centre de vaccination Condé-en-Normandie;;0.99999965579671;14174_0893_00029;;place du marché couvert;14110;14174;Condé-en-Normandie;48.851;-0.55275;130007909;8412Z;AGENCE REGIONALE DE SANTE NORMANDIE;2;PL JEAN NOUZILLE;14000;14118;CAEN;11533;11533;2021-04-05 13:00:01.64453;;;;;;;;;t;;2021-03-29;https://partners.doctolib.fr/centre-de-sante/conde-en-normandie/centre-de-vaccination-covid-19-ville-de-conde?pid=practice-178178&enable_cookies_consent=1;+33279461156;;;;;f;
975;Espace culturel et sportif FLEURANCE;;0.99999974800135;32132_0768_00020;;Avenue Pierre de Coubertin;32500;32132;Fleurance;43.8523;0.664874;130008048;8412Z;AGENCE REGIONALE DE SANTE OCCITANIE;1025;AV HENRI BECQUEREL;34000;34172;MONTPELLIER;17568;11;2021-02-11 16:56:18.011921;oui;fermé;09:00-12:00/14:00-17:00;fermé;fermé;fermé;fermé;fermé;t;;2021-01-19;https://partners.doctolib.fr/centre-de-sante/fleurance/centre-de-vaccination-covid-19-fleurance?speciality_id=5494&enable_cookies_consent=1;+33800541919;;Réservé aux plus de 75 ans;t;;f;
42;CH ANGOULEME;;0.99999683452114;16341_b001_00023;;Rd Point de Girac;16470;16341;Saint-Michel;45.636;0.120763;130007867;8412Z;AGENCE REGIONALE DE SANTE NOUVELLE-AQUITAINE;103;RUE BELLEVILLE;33000;33063;BORDEAUX;51;51;2021-02-15 16:33:03.847063;;9:30-17:00;9:30-17:00;9:30-17:00;9:30-17:00;9:30-17:00;9:30-16:30;9:30-16:30;t;;2021-01-07;https://partners.doctolib.fr/hopital-public/angouleme/centre-de-vaccination-covid-19-ch-d-angouleme?speciality_id=5494&enable_cookies_consent=1;+33545244000;;;t;;;
960;Bonneville - AGORA;2021-11;0.99999978045935;74042_0020_00588;42;Avenue de la Gare;74130;74042;Bonneville;46.0778;6.41368;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;8140;8097;2021-02-22 14:56:56.236801;Oui;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;09:00-13:00/14:00-18:00;fermé;fermé;t;;2021-01-19;https://partners.doctolib.fr/centre-de-sante/bonneville/centre-de-vaccination-agora-bonneville?speciality_id=5494&enable_cookies_consent=1;+33450073249;;;t;;f;f
805;Centre de vaccination de Vichy - Maison des Associations;129-2021;0.99999999715695;03310_0665_00001;1;Place Charles de Gaulle;03200;03310;Vichy;46.1245;3.42695;130008071;8412Z;AGENCE REGIONALE DE SANTE AUVERGNE-RHONE-ALPES;241;RUE GARIBALDI;69003;69383;LYON 3EME;18075;18260;2021-03-18 17:14:16.714561;oui;fermé;12:00-19:00;10:00-19:00;10:00-19:00;fermé;fermé;fermé;t;;2021-01-18;https://partners.doctolib.fr/centre-de-sante/vichy/centre-de-vaccination-de-la-maison-des-associations-vichy?speciality_id=5494&enable_cookies_consent=1;+33800709999;;commune desservie Le Mayet de Montagne, St Germain des Fossés, St Yorre;t;;;
